Name_2018b,Name_2019,Notes
Orthohepevirus B,Orthohepevirus B,
Orthohepevirus C,Orthohepevirus C,
Orthohepevirus D,Orthohepevirus D,
Orungo virus,Orungo virus,
Oscivirus A,Oscivirus A,
Ovine atadenovirus D,Ovine atadenovirus D,
Ovine gammaherpesvirus 2,Ovine gammaherpesvirus 2,
Ovine mastadenovirus A,Ovine mastadenovirus A,
Palyam virus,Palyam virus,
Panine betaherpesvirus 2,Panine betaherpesvirus 2,
Papiine alphaherpesvirus 2,Papiine alphaherpesvirus 2,
Paraguayan mammarenavirus,Paraguayan mammarenavirus,
Parapoxvirus of red deer in New Zealand,Red deerpox virus,
Parechovirus A,Parechovirus A,
Parechovirus B,Parechovirus B,
Patois orthobunyavirus,Patois orthobunyavirus,
Pegivirus A,Pegivirus A,
Pegivirus C,Pegivirus C,
Pegivirus E,Pegivirus E,
Pegivirus H,Pegivirus H,
Perch perhabdovirus,Perch perhabdovirus,
Perinet vesiculovirus,Perinet vesiculovirus,
Peruvian horse sickness virus,Peruvian horse sickness virus,
Phnom Penh bat virus,Phnom Penh bat virus,
Phocid alphaherpesvirus 1,Phocid alphaherpesvirus 1,
Phocine morbillivirus,Phocine morbillivirus,
Cali mammarenavirus,Cali mammarenavirus,
Pipapillomavirus 1,Pipapillomavirus 1,
Pipistrellus bat coronavirus HKU5,Pipistrellus bat coronavirus HKU5,
Pirital mammarenavirus,Pirital mammarenavirus,
Piry vesiculovirus,Piry vesiculovirus,
Piscihepevirus A,Piscihepevirus A,
Piscine novirhabdovirus,Piscine novirhabdovirus,
Pixuna virus,Pixuna virus,
Porcine circovirus 1,Porcine circovirus 1,
Porcine circovirus 2,Porcine circovirus 2,
Porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,
Porcine mastadenovirus A,Porcine mastadenovirus A,
Porcine mastadenovirus C,Porcine mastadenovirus C,
Betaarterivirus suid 1,Betaarterivirus suid 1,
Porcine respirovirus 1,Porcine respirovirus 1,
Porcine orthorubulavirus,Porcine orthorubulavirus,
Porcine torovirus,Porcine torovirus,
Porcine type-C oncovirus,Porcine type-C oncovirus,
Potato yellow dwarf nucleorhabdovirus,Potato yellow dwarf alphanucleorhabdovirus,
Powassan virus,Powassan virus,
Primate erythroparvovirus 1,Primate erythroparvovirus 1,
Primate T-lymphotropic virus 1,Primate T-lymphotropic virus 1,
Primate T-lymphotropic virus 2,Primate T-lymphotropic virus 2,
Primate T-lymphotropic virus 3,Primate T-lymphotropic virus 3,
Pestivirus E,Pestivirus E,
Pseudocowpox virus,Pseudocowpox virus,
Puerto Almendras almendravirus,Puerto Almendras almendravirus,
Puma lentivirus,Puma lentivirus,
Punta Toro phlebovirus,Punta Toro phlebovirus,
Puumala orthohantavirus,Puumala orthohantavirus,
Quaranfil quaranjavirus,Quaranfil quaranjavirus,
Rabbit fibroma virus,Rabbit fibroma virus,
Rabbit hemorrhagic disease virus,Rabbit hemorrhagic disease virus,
Rabies lyssavirus,Rabies lyssavirus,
Raccoonpox virus,Raccoonpox virus,
Reptile sunshinevirus 1,Reptile sunshinevirus 1,
Reptilian ferlavirus,Reptilian ferlavirus,
Reston ebolavirus,Reston ebolavirus,
Rhinolophus bat coronavirus HKU2,Rhinolophus bat coronavirus HKU2,
Rhinovirus A,Rhinovirus A,
Rhinovirus B,Rhinovirus B,
Rhinovirus C,Rhinovirus C,
Rice yellow stunt nucleorhabdovirus,Rice yellow stunt alphanucleorhabdovirus,
Rift Valley fever phlebovirus,Rift Valley fever phlebovirus,
Rinderpest morbillivirus,Rinderpest morbillivirus,
Rio Bravo virus,Rio Bravo virus,
Rio Negro virus,Rio Negro virus,
Rodent erythroparvovirus 1,Rodent erythroparvovirus 1,
Rodent protoparvovirus 1,Rodent protoparvovirus 1,
Rodent protoparvovirus 2,Rodent protoparvovirus 2,
Ross River virus,Ross River virus,
Rotavirus A,Rotavirus A,
Rotavirus B,Rotavirus B,
Rotavirus C,Rotavirus C,
Rotterdam reptarenavirus,Rotterdam reptarenavirus,
Rousettus bat coronavirus HKU9,Rousettus bat coronavirus HKU9,
Royal Farm virus,Royal Farm virus,
Rubella virus,Rubella virus,
Brazilian mammarenavirus,Brazilian mammarenavirus,
Saboya virus,Saboya virus,
Saimiriine alphaherpesvirus 1,Saimiriine alphaherpesvirus 1,
Saimiriine gammaherpesvirus 2,Saimiriine gammaherpesvirus 2,
Sakobuvirus A,Sakobuvirus A,
Salehabad phlebovirus,Salehabad phlebovirus,
Salivirus A,Salivirus A,
Salmon aquaparamyxovirus,Salmo aquaparamyxovirus,
Salmon pancreas disease virus,Salmon pancreas disease virus,
Salmonid novirhabdovirus,Salmonid novirhabdovirus,
Sandfly fever Naples phlebovirus,Naples phlebovirus,
Sapelovirus A,Sapelovirus A,
Sapporo virus,Sapporo virus,
Scotophilus bat coronavirus 512,Scotophilus bat coronavirus 512,
Semliki Forest virus,Semliki Forest virus,
Seoul orthohantavirus,Seoul orthohantavirus,
Sepik virus,Sepik virus,
Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus,
Huaiyangshan banyangvirus,Dabie bandavirus,
Schmallenberg orthobunyavirus,Schmallenberg orthobunyavirus,
Sheeppox virus,Sheeppox virus,
Shimoni bat lyssavirus,Shimoni bat lyssavirus,
Shuni orthobunyavirus,Shuni orthobunyavirus,
Sicinivirus A,Sicinivirus A,
Simbu orthobunyavirus,Simbu orthobunyavirus,
Western chimpanzee simian foamy virus,Western chimpanzee simian foamy virus,
Deltaarterivirus hemfev,Deltaarterivirus hemfev,
Simian immunodeficiency virus,Simian immunodeficiency virus,
Simian orthorubulavirus,Simian orthorubulavirus,
Sin Nombre orthohantavirus,Sin Nombre orthohantavirus,
Sindbis virus,Sindbis virus,
Small ruminant morbillivirus,Small ruminant morbillivirus,
Snakehead novirhabdovirus,Snakehead novirhabdovirus,
Sonchus yellow net nucleorhabdovirus,Sonchus yellow net betanucleorhabdovirus,
Sosuga pararubulavirus,Sosuga pararubulavirus,
Southern elephant seal virus,Southern elephant seal virus,
Squirrel monkey retrovirus,Squirrel monkey retrovirus,
Squirrelpox virus,Squirrelpox virus,
Saint Louis encephalitis virus,Saint Louis encephalitis virus,
Sudan ebolavirus,Sudan ebolavirus,
Suid alphaherpesvirus 1,Suid alphaherpesvirus 1,
Swinepox virus,Swinepox virus,
Tacaiuma orthobunyavirus,Tacaiuma orthobunyavirus,
Tacaribe mammarenavirus,Tacaribe mammarenavirus,
Tai Forest ebolavirus,Tai Forest ebolavirus,
Tamiami mammarenavirus,Tamiami mammarenavirus,
Tanapox virus,Tanapox virus,
Taro vein chlorosis nucleorhabdovirus,Taro vein chlorosis alphanucleorhabdovirus,
Taterapox virus,Taterapox virus,
Tembusu virus,Tembusu virus,
Pike fry sprivivirus,Pike fry sprivivirus,
Teschovirus A,Teschovirus A,
Thailand orthohantavirus,Thailand orthohantavirus,
Thiafora orthonairovirus,Thiafora orthonairovirus,
Thogoto thogotovirus,Thogoto thogotovirus,
Thottopalayam thottimvirus,Thottopalayam thottimvirus,
Tibrogargan tibrovirus,Tibrogargan tibrovirus,
Tick-borne encephalitis virus,Tick-borne encephalitis virus,
Tioman pararubulavirus,Tioman pararubulavirus,
Tonate virus,Tonate virus,
Tree shrew mastadenovirus A,Tree shrew mastadenovirus A,
Tremovirus A,Tremovirus A,
Tuhoko pararubulavirus 1,Tuhoko pararubulavirus 1,
Tuhoko pararubulavirus 2,Tuhoko pararubulavirus 2,
Tuhoko pararubulavirus 3,Tuhoko pararubulavirus 3,
Tula orthohantavirus,Tula orthohantavirus,
Tupaia tupavirus,Tupaia tupavirus,
Tupaiid betaherpesvirus 1,Tupaiid betaherpesvirus 1,
Turlock orthobunyavirus,Turlock orthobunyavirus,
Tylonycteris bat coronavirus HKU4,Tylonycteris bat coronavirus HKU4,
Tyuleniy virus,Tyuleniy virus,
Uganda S virus,Uganda S virus,
Una virus,Una virus,
Ungulate bocaparvovirus 1,Ungulate bocaparvovirus 1,
Ungulate protoparvovirus 1,Ungulate protoparvovirus 1,
Uukuniemi phlebovirus,Uukuniemi uukuvirus,
Variola virus,Variola virus,
Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus,
Vesicular exanthema of swine virus,Vesicular exanthema of swine virus,
Visna-maedi virus,Visna-maedi virus,
Volepox virus,Volepox virus,
Wad Medani virus,Wad Medani virus,
Wallal virus,Wallal virus,
Warrego virus,Warrego virus,
Wenzhou mammarenavirus,Wenzhou mammarenavirus,
Wesselsbron virus,Wesselsbron virus,
West Caucasian bat lyssavirus,West Caucasian bat lyssavirus,
West Nile virus,West Nile virus,
Western equine encephalitis virus,Western equine encephalitis virus,
Whataroa virus,Whataroa virus,
White bream virus,White bream virus,
White-eye coronavirus HKU16,White-eye coronavirus HKU16,
Whitewater Arroyo mammarenavirus,Whitewater Arroyo mammarenavirus,
Wigeon coronavirus HKU20,Wigeon coronavirus HKU20,
Wongabel hapavirus,Wongabel hapavirus,
Woodchuck hepatitis virus,Woodchuck hepatitis virus,
Woolly monkey sarcoma virus,Woolly monkey sarcoma virus,
Wyeomyia orthobunyavirus,Wyeomyia orthobunyavirus,
Xipapillomavirus 1,Xipapillomavirus 1,
Yaba monkey tumor virus,Yaba monkey tumor virus,
Yellow fever virus,Yellow fever virus,
Yokose virus,Yokose virus,
Yug Bogdanovac vesiculovirus,Yug Bogdanovac vesiculovirus,
Zaire ebolavirus,Zaire ebolavirus,
Zegla orthobunyavirus,Zegla orthobunyavirus,
Zetapapillomavirus 1,Zetapapillomavirus 1,
Zika virus,Zika virus,
Choclo orthohantavirus,Choclo orthohantavirus,
Ekpoma 1 tibrovirus,Ekpoma 1 tibrovirus,
Ekpoma 2 tibrovirus,Ekpoma 2 tibrovirus,
Mammalian 2 orthobornavirus,Mammalian 2 orthobornavirus,
Rotavirus H,Rotavirus H,
Aedes pseudoscutellaris reovirus,Aedes pseudoscutellaris reovirus,
Lambdaarterivirus afriporav,Lambdaarterivirus afriporav,
Aichivirus B,Aichivirus B,
Aichivirus C,Aichivirus C,
Aichivirus D,Aichivirus D,
Aichivirus E,Aichivirus E,
Aichivirus F,Aichivirus F,
Alajuela orthobunyavirus,Alajuela orthobunyavirus,
Alfalfa dwarf cytorhabdovirus,Alfalfa dwarf cytorhabdovirus,
Ampivirus A,Ampivirus A,
Aquareovirus A,Aquareovirus A,
Aquareovirus B,Aquareovirus B,
Aquareovirus C,Aquareovirus C,
Aquareovirus E,Aquareovirus E,
Aquareovirus G,Aquareovirus G,
Avian orthoavulavirus 13,Avian orthoavulavirus 13,
Avian metaavulavirus 2,Avian metaavulavirus 2,
Avian leukosis virus,Avian leukosis virus,
Avian orthoreovirus,Avian orthoreovirus,
Anativirus A,Anativirus A,
Avisivirus A,Avisivirus A,
Badu phasivirus,Badu phasivirus,
Ball python nidovirus 1,Ball python nidovirus 1,
Barley yellow striate mosaic cytorhabdovirus,Barley yellow striate mosaic cytorhabdovirus,
Bat mumps orthorubulavirus,Mumps orthorubulavirus,Species abolished – reason given is that it’s not distinct enough from Mumps orthorubulavirus
Batama orthobunyavirus,Batama orthobunyavirus,
Bertioga orthobunyavirus,Bertioga orthobunyavirus,
Bovine nidovirus 1,Bovine nidovirus 1,
Bovine rhinitis A virus,Bovine rhinitis A virus,
Bovine rhinitis B virus,Bovine rhinitis B virus,
Bowe orthohantavirus,Bowe orthohantavirus,
Bruges orthohantavirus,Bruges orthohantavirus,
Bulbul coronavirus HKU11,Bulbul coronavirus HKU11,
Tamdy orthonairovirus,Tamdy orthonairovirus,
Cadicivirus A,Cadicivirus A,
Cao Bang orthohantavirus,Cao Bang orthohantavirus,
Capim orthobunyavirus,Capim orthobunyavirus,
Carajas vesiculovirus,Carajas vesiculovirus,
Cardiovirus C,Cardiovirus C,
Chaco sripuvirus,Chaco sripuvirus,
Chenuda virus,Chenuda virus,
Chilibre phlebovirus,Chilibre pacuvirus,
Chinook salmon nidovirus 1,Chinook salmon nidovirus 1,
Coffee ringspot dichorhavirus,Coffee ringspot dichorhavirus,
Colocasia bobone disease-associated cytorhabdovirus,Colocasia bobone disease-associated cytorhabdovirus,
Cosavirus A,Cosavirus A,
Cosavirus B,Cosavirus B,
Cosavirus D,Cosavirus D,
Cosavirus E,Cosavirus E,
Cosavirus F,Cosavirus F,
Cumuto goukovirus,Cumuto goukovirus,
Cypovirus 1,Cypovirus 1,
Cypovirus 14,Cypovirus 14,
Cypovirus 15,Cypovirus 15,
Cypovirus 2,Cypovirus 2,
Cypovirus 5,Cypovirus 5,
Dabieshan orthohantavirus,Dabieshan orthohantavirus,
Datura yellow vein nucleorhabdovirus,Datura yellow vein betanucleorhabdovirus,
Iotaarterivirus debrazmo,Iotaarterivirus debrazmo,
Drosophila affinis sigmavirus,Drosophila affinis sigmavirus,
Drosophila ananassae sigmavirus,Drosophila ananassae sigmavirus,
Drosophila immigrans sigmavirus,Drosophila immigrans sigmavirus,
Drosophila X virus,Drosophila X virus,
Durham tupavirus,Durham tupavirus,
Edge Hill virus,Edge Hill virus,
Elapid 1 orthobornavirus,Elapid 1 orthobornavirus,
Enterovirus E,Enterovirus E,
Enterovirus F,Enterovirus F,
Enterovirus J,Enterovirus J,
Eriocheir sinensis reovirus,Eriocheir sinensis reovirus,
Estero Real orthonairovirus,Estero Real orthonairovirus,
Fathead minnow nidovirus 1,Fathead minnow nidovirus 1,
Fiji disease virus,Fiji disease virus,
Flanders hapavirus,Flanders hapavirus,
Epsilonarterivirus safriver,Epsilonarterivirus safriver,
Frijoles phlebovirus,Frijoles phlebovirus,
Fugong orthohantavirus,Fugong orthohantavirus,
Fukuoka ledantevirus,Fukuoka ledantevirus,
Fusong orthohantavirus,Fusong orthohantavirus,
Gadgets Gully virus,Gadgets Gully virus,
Gallivirus A,Gallivirus A,
Gamboa orthobunyavirus,Gamboa orthobunyavirus,
Gray Lodge hapavirus,Gray Lodge hapavirus,
Guajara orthobunyavirus,Guajara orthobunyavirus,
Hart Park hapavirus,Hart Park hapavirus,
Hazara orthonairovirus,Hazara orthonairovirus,
Hepacivirus A,Hepacivirus A,
Hepacivirus B,Hepacivirus B,
Hepacivirus D,Hepacivirus D,
Hepacivirus E,Hepacivirus E,
Hepacivirus F,Hepacivirus F,
Hepacivirus G,Hepacivirus G,
Hepacivirus H,Hepacivirus H,
Hepacivirus I,Hepacivirus I,
Hepacivirus J,Hepacivirus J,
Hepacivirus K,Hepacivirus K,
Hepacivirus L,Hepacivirus L,
Hepacivirus M,Hepacivirus M,
Hepacivirus N,Hepacivirus N,
Hepatovirus C,Hepatovirus C,
Hepatovirus D,Hepatovirus D,
Hepatovirus E,Hepatovirus E,
Hepatovirus F,Hepatovirus F,
Hepatovirus G,Hepatovirus G,
Hepatovirus H,Hepatovirus H,
Hepatovirus I,Hepatovirus I,
Hughes orthonairovirus,Hughes orthonairovirus,
Hunnivirus A,Hunnivirus A,
Imjin thottimvirus,Imjin thottimvirus,
Infectious bursal disease virus,Infectious bursal disease virus,
Infectious pancreatic necrosis virus,Infectious pancreatic necrosis virus,
Salmon isavirus,Salmon isavirus,
Influenza D virus,Influenza D virus,
Iranian wheat stripe tenuivirus,Iranian wheat stripe tenuivirus,
Iriri curiovirus,Iriri curiovirus,
Israel turkey meningoencephalomyelitis virus,Israel turkey meningoencephalomyelitis virus,
Itacaiunas curiovirus,Itacaiunas curiovirus,
Jeju orthohantavirus,Jeju orthohantavirus,
Jembrana disease virus,Jembrana disease virus,
Joinjakaka hapavirus,Joinjakaka hapavirus,
Kadam virus,Kadam virus,
Kadipiro virus,Kadipiro virus,
Thetaarterivirus kafuba,Thetaarterivirus kafuba,
Kamese hapavirus,Kamese hapavirus,
Kenkeme orthohantavirus,Kenkeme orthohantavirus,
Keterah orthonairovirus,Keterah orthonairovirus,
Kibale herbevirus,Kibale herbevirus,
Zetaarterivirus ugarco 1,Zetaarterivirus ugarco 1,
Etaarterivirus ugarco 1,Etaarterivirus ugarco 1,
Iotaarterivirus kibreg 1,Iotaarterivirus kibreg 1,
Klamath tupavirus,Klamath tupavirus,
Koala retrovirus,Koala retrovirus,
Koolpinyah ephemerovirus,Koolpinyah ephemerovirus,
Kumasi ledantevirus,Kumasi ledantevirus,
Kunsagivirus A,Kunsagivirus A,
La Joya hapavirus,La Joya hapavirus,
Laibin mobatvirus,Laibin mobatvirus,
Landjia hapavirus,Landjia hapavirus,
Le Dantec ledantevirus,Le Dantec ledantevirus,
Lettuce big-vein associated varicosavirus,Lettuce big-vein associated varicosavirus,
Liao ning virus,Liao ning virus,
Limnipivirus A,Limnipivirus A,
Limnipivirus B,Limnipivirus B,
Luxi orthohantavirus,Luxi orthohantavirus,
Maize rough dwarf virus,Maize rough dwarf virus,
Maize stripe tenuivirus,Maize stripe tenuivirus,
Mal de Rio Cuarto virus,Mal de Rio Cuarto virus,
Mamastrovirus 5,Mamastrovirus 5,
Mamastrovirus 8,Mamastrovirus 8,
Manitoba hapavirus,Manitoba hapavirus,
Maporal orthohantavirus,Maporal orthohantavirus,
Marco hapavirus,Marco hapavirus,
Meaban virus,Meaban virus,
Megrivirus A,Megrivirus A,
Micromonas pusilla reovirus,Micromonas pusilla reovirus,
Thetaarterivirus mikelba 1,Thetaarterivirus mikelba 1,
Miniopterus bat coronavirus 1,Miniopterus bat coronavirus 1,
Mink coronavirus 1,Mink coronavirus 1,
Montano orthohantavirus,Montano orthohantavirus,
Morreton vesiculovirus,Morreton vesiculovirus,
Mosavirus A,Mosavirus A,
Mosqueiro hapavirus,Mosqueiro hapavirus,
Mossuril hapavirus,Mossuril hapavirus,
Mycoreovirus 1,Mycoreovirus 1,
Mycoreovirus 3,Mycoreovirus 3,
Nairobi sheep disease orthonairovirus,Nairobi sheep disease orthonairovirus,
Nilaparvata lugens reovirus,Nilaparvata lugens reovirus,
Nishimuro ledantevirus,Nishimuro ledantevirus,
Nkolbisson ledantevirus,Nkolbisson ledantevirus,
Nova mobatvirus,Nova mobatvirus,
Okahandja mammarenavirus,Okahandja mammarenavirus,
Orchid fleck dichorhavirus,Orchid fleck dichorhavirus,
Ord River hapavirus,Ord River hapavirus,
Parechovirus C,Parechovirus C,
Parechovirus D,Parechovirus D,
Parry Creek hapavirus,Parry Creek hapavirus,
Pasivirus A,Pasivirus A,
Passeriform 1 orthobornavirus,Passeriform 1 orthobornavirus,
Passerivirus A,Passerivirus A,
Deltaarterivirus pejah,Iotaarterivirus pejah,
Pegivirus B,Pegivirus B,
Pegivirus D,Pegivirus D,
Pegivirus F,Pegivirus F,
Pegivirus G,Pegivirus G,
Pegivirus I,Pegivirus I,
Pegivirus J,Pegivirus J,
Pegivirus K,Pegivirus K,
Phasi Charoen-like phasivirus,Phasi Charoen-like phasivirus,
Piscine orthoreovirus,Piscine orthoreovirus,
Betaarterivirus suid 2,Betaarterivirus suid 2,
Potamipivirus A,Potamipivirus A,
Psittaciform 1 orthobornavirus,Psittaciform 1 orthobornavirus,
Psittaciform 2 orthobornavirus,Psittaciform 2 orthobornavirus,
Quezon mobatvirus,Quezon mobatvirus,
Rabbit picobirnavirus,,Abolished
Rabovirus A,Rabovirus A,
Radi vesiculovirus,Radi vesiculovirus,
Betaarterivirus chinrav 1,Betaarterivirus chinrav 1,
Reptilian orthoreovirus,Reptilian orthoreovirus,
Reticuloendotheliosis virus,Reticuloendotheliosis virus,
Rice black streaked dwarf virus,Rice black streaked dwarf virus,
Rice dwarf virus,Rice dwarf virus,
Rice gall dwarf virus,Rice gall dwarf virus,
Rice grassy stunt tenuivirus,Rice grassy stunt tenuivirus,
Rice hoja blanca tenuivirus,Rice hoja blanca tenuivirus,
Rice ragged stunt virus,Rice ragged stunt virus,
Rice stripe tenuivirus,Rice stripe tenuivirus,
Rochambeau curiovirus,Rochambeau curiovirus,
Rockport orthohantavirus,Rockport orthohantavirus,
Rosavirus A,Rosavirus A,
Rotavirus D,Rotavirus D,
Rotavirus F,Rotavirus F,
Rotavirus G,Rotavirus G,
Rotavirus I,Rotavirus I,
Sakhalin orthonairovirus,Sakhalin orthonairovirus,
Sangassou orthohantavirus,Sangassou orthohantavirus,
Sapelovirus B,Sapelovirus B,
Saumarez Reef virus,Saumarez Reef virus,
Sena Madureira sripuvirus,Sena Madureira sripuvirus,
Senecavirus A,Senecavirus A,
Insect shangavirus,Insect shangavirus,
Epsilonarterivirus hemcep,Epsilonarterivirus hemcep,
Solwezi mammarenavirus,Solwezi mammarenavirus,
Southern rice black-streaked dwarf virus,Southern rice black-streaked dwarf virus,
Sripur sripuvirus,Sripur sripuvirus,
St Croix River virus,St Croix River virus,
Strawberry crinkle cytorhabdovirus,Strawberry crinkle cytorhabdovirus,
Sweetwater Branch tibrovirus,Sweetwater Branch tibrovirus,
Tai herbevirus,Tai herbevirus,
Tellina virus,Tellina virus,
Tete orthobunyavirus,Tete orthobunyavirus,
Teviot pararubulavirus,Teviot pararubulavirus,
Thimiri orthobunyavirus,Thimiri orthobunyavirus,
Torchivirus A,Torchivirus A,
Umatilla virus,Umatilla virus,
Walleye dermal sarcoma virus,Walleye dermal sarcoma virus,
Waterbird 1 orthobornavirus,Waterbird 1 orthobornavirus,
Kappaarterivirus wobum,Kappaarterivirus wobum,
Wound tumor virus,Wound tumor virus,
Fly wubeivirus,Fly phasivirus,
Wuhan ledantevirus,Wuhan ledantevirus,
Wutai mosquito phasivirus,Wutai mosquito phasivirus,
Yaounde virus,Yaounde virus,
Yata ephemerovirus,Yata ephemerovirus,
Yellowtail ascites virus,Yellowtail ascites virus,
Yichang insect goukovirus,Yichang insect goukovirus,
Yongjia ledantevirus,Yongjia ledantevirus,
Yunnan orbivirus,Yunnan orbivirus,
